[38;5;4mℹ Saving to output directory: /veld/output[0m
[38;5;4mℹ Using CPU[0m
[1m
=========================== Initializing pipeline ===========================[0m
[38;5;2m✔ Initialized pipeline[0m
[1m
============================= Training pipeline =============================[0m
[38;5;4mℹ Pipeline: ['tok2vec', 'ner'][0m
[38;5;4mℹ Initial learn rate: 0.001[0m
E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE 
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     46.57    0.71    0.53    1.08    0.01
  0     200         70.74   2938.00   48.95   46.28   51.94    0.49
  0     400         18.37   2191.76   61.63   61.90   61.37    0.62
  0     600         43.43   2380.99   66.02   65.72   66.33    0.66
  0     800         36.17   2598.75   72.13   74.71   69.71    0.72
  1    1000        337.67   2908.65   72.02   71.82   72.23    0.72
  1    1200         63.83   2876.71   74.11   77.08   71.37    0.74
  1    1400         73.37   3463.35   75.15   73.67   76.69    0.75
  2    1600        144.18   3360.80   76.94   77.93   75.97    0.77
  3    1800        109.98   3592.50   77.64   78.09   77.19    0.78
  4    2000        120.70   3537.55   78.14   79.72   76.62    0.78
  5    2200        153.71   3149.49   76.70   80.00   73.67    0.77
  6    2400        214.72   2795.50   75.73   76.15   75.32    0.76
  7    2600        263.04   2256.28   75.78   79.53   72.37    0.76
  8    2800        257.98   2086.78   76.08   78.50   73.81    0.76
 10    3000        200.67   1607.55   75.94   76.73   75.18    0.76
 11    3200        267.13   1437.63   76.31   80.35   72.66    0.76
 12    3400        256.44   1322.07   75.25   78.71   72.09    0.75
 14    3600        295.27   1289.66   77.42   77.51   77.34    0.77
[38;5;2m✔ Saved pipeline to output directory[0m
/veld/output/model-last
